date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:02:15	483/483	---M--	200	added ('OK')	image/png	etag:%221e3-5bafdd7d33bbe%22	https://apresentacao.pegaocardapio.com.br/wp-content/plugins/wp-content-copy-protector/images/warning.png	C:/Meus%20Sites/Plataforma/apresentacao.pegaocardapio.com.br/wp-content/plugins/wp-content-copy-protector/images/warning.png	(from https://apresentacao.pegaocardapio.com.br/)
18:02:16	8155/8155	---M--	200	added ('OK')	application/javascript	etag:%221fdb-5bafb59496bba%22	https://apresentacao.pegaocardapio.com.br/wp-content/plugins/gutentor/assets/library/wow/wow.min.js?ver=1.2.1	C:/Meus%20Sites/Plataforma/apresentacao.pegaocardapio.com.br/wp-content/plugins/gutentor/assets/library/wow/wow.min1576.js	(from https://apresentacao.pegaocardapio.com.br/)
18:02:16	20216/20216	---M--	200	added ('OK')	application/javascript	etag:%224ef8-5bafb593ba07a%22	https://apresentacao.pegaocardapio.com.br/wp-content/plugins/gutentor/assets/library/magnific-popup/jquery.magnific-popup.min.js?ver=1.1.0	C:/Meus%20Sites/Plataforma/apresentacao.pegaocardapio.com.br/wp-content/plugins/gutentor/assets/library/magnific-popup/jquery.magnific-popup.minf488.js	(from https://apresentacao.pegaocardapio.com.br/)
18:02:16	5428/5428	---M--	200	added ('OK')	application/javascript	etag:%221534-5bafb5945e562%22	https://apresentacao.pegaocardapio.com.br/wp-content/plugins/gutentor/assets/library/theia-sticky-sidebar/theia-sticky-sidebar.min.js?ver=4.0.1	C:/Meus%20Sites/Plataforma/apresentacao.pegaocardapio.com.br/wp-content/plugins/gutentor/assets/library/theia-sticky-sidebar/theia-sticky-sidebar.minf39e.js	(from https://apresentacao.pegaocardapio.com.br/)
18:02:16	14280/14280	---M--	200	added ('OK')	application/javascript	etag:%2237c8-5bafb56f9af5a%22	https://apresentacao.pegaocardapio.com.br/wp-content/plugins/contact-form-7/includes/js/scripts.js?ver=5.3.2	C:/Meus%20Sites/Plataforma/apresentacao.pegaocardapio.com.br/wp-content/plugins/contact-form-7/includes/js/scripts9dff.js	(from https://apresentacao.pegaocardapio.com.br/)
18:02:16	50369/50369	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Apr%202023%2021:02:16%20GMT	https://apresentacao.pegaocardapio.com.br/acompanhamento_pedido/	C:/Meus%20Sites/Plataforma/apresentacao.pegaocardapio.com.br/acompanhamento_pedido/index.html	(from https://apresentacao.pegaocardapio.com.br/)
18:02:17	1369/1369	---M--	200	added ('OK')	application/javascript	etag:%22559-5bafb573a1b8a%22	https://apresentacao.pegaocardapio.com.br/wp-content/plugins/my-delivey-wordpress/assets/js/order-list-ajax.js?ver=1.8.6	C:/Meus%20Sites/Plataforma/apresentacao.pegaocardapio.com.br/wp-content/plugins/my-delivey-wordpress/assets/js/order-list-ajax10f0.js	(from https://apresentacao.pegaocardapio.com.br/)
18:02:17	1811/1811	---M--	200	added ('OK')	application/javascript	etag:%22713-5bafb573afe1a%22	https://apresentacao.pegaocardapio.com.br/wp-content/plugins/my-delivey-wordpress/assets/js/order-notification.js?ver=1.8.6	C:/Meus%20Sites/Plataforma/apresentacao.pegaocardapio.com.br/wp-content/plugins/my-delivey-wordpress/assets/js/order-notification10f0.js	(from https://apresentacao.pegaocardapio.com.br/)
18:02:17	32604/32604	---M--	200	added ('OK')	application/javascript	etag:%227f5c-5bafb5738bbfa%22	https://apresentacao.pegaocardapio.com.br/wp-content/plugins/my-delivey-wordpress/assets/js/create-order.js?ver=1.8.6	C:/Meus%20Sites/Plataforma/apresentacao.pegaocardapio.com.br/wp-content/plugins/my-delivey-wordpress/assets/js/create-order10f0.js	(from https://apresentacao.pegaocardapio.com.br/)
18:02:18	11967/11967	---M--	200	added ('OK')	application/javascript	etag:%222ebf-5bafb57399aa2%22	https://apresentacao.pegaocardapio.com.br/wp-content/plugins/my-delivey-wordpress/assets/js/essentials.js?ver=1.8.6	C:/Meus%20Sites/Plataforma/apresentacao.pegaocardapio.com.br/wp-content/plugins/my-delivey-wordpress/assets/js/essentials10f0.js	(from https://apresentacao.pegaocardapio.com.br/)
